subject_id	subject_label	subject_category	predicate_id	object_id	object_label	object_category	mapping_justification	subject_type	object_type	subject_definition	object_definition
isam:elevation	elevation	GeospatialCoordLocation	skos:narrowMatch	dwc:minimumElevationInMeters	Minimum Elevation In Meters	dwc:Location	semapv:ManualMappingCuration	rdf property		Should be a number and Unit of measure, and the vertical reference system. e.g. 401 m above mean sea level.	The lower limit of the range of elevation (altitude, usually above sea level), in meters.
isam:elevation	elevation	GeospatialCoordLocation	skos:narrowMatch	dwc:maximumElevationInMeters	Maximum Elevation In Meters	dwc:Location	semapv:ManualMappingCuration	rdf property	rdf property	Should be a number and Unit of measure, and the vertical reference system. e.g. 401 m above mean sea level.	The upper limit of the range of elevation (altitude, usually above sea level), in meters.
isam:elevation	elevation	GeospatialCoordLocation	skos:closeMatch	dwc:verbatimElevation	Verbatim Elevation	dwc:Location	semapv:ManualMappingCuration	rdf property	rdf property	Should be a number and Unit of measure, and the vertical reference system. e.g. 401 m above mean sea level.	The original description of the elevation (altitude, usually above sea level) of the Location.
isam:elevation	elevation	GeospatialCoordLocation	skos:relatedMatch	dwc:verticalDatum	Vertical Datum	dwc:Location	semapv:ManualMappingCuration	rdf property	rdf property	Should be a number and Unit of measure, and the vertical reference system. e.g. 401 m above mean sea level.	The vertical datum used as the reference upon which the values in the elevation terms are based.
isam:elevation	elevation	GeospatialCoordLocation	skos:narrowMatch	dwc:minimumDepthInMeters	Minimum Depth In Meters	dwc:Location	semapv:ManualMappingCuration	rdf property	rdf property	Should be a number and Unit of measure, and the vertical reference system. e.g. 401 m above mean sea level.	The lesser depth of a range of depth below the local surface, in meters.
isam:elevation	elevation	GeospatialCoordLocation	skos:narrowMatch	dwc:maximumDepthInMeters	Maximum Depth In Meters	dwc:Location	semapv:ManualMappingCuration	rdf property	rdf property	Should be a number and Unit of measure, and the vertical reference system. e.g. 401 m above mean sea level.	The greater depth of a range of depth below the local surface, in meters.
isam:elevation	elevation	GeospatialCoordLocation	skos:relatedMatch	dwc:verbatimDepth	Verbatim Depth	dwc:Location	semapv:ManualMappingCuration	rdf property	rdf property	Should be a number and Unit of measure, and the vertical reference system. e.g. 401 m above mean sea level.	The original description of the depth below the local surface.
isam:elevation	elevation	GeospatialCoordLocation	skos:narrowMatch	dwc:minimumDistanceAboveSurfaceInMeters	Minimum Distance Above Surface In Meters	dwc:Location	semapv:ManualMappingCuration	rdf property	rdf property	Should be a number and Unit of measure, and the vertical reference system. e.g. 401 m above mean sea level.	The lesser distance in a range of distance from a reference surface in the vertical direction, in meters. Use positive values for locations above the surface, negative values for locations below. If depth measures are given, the reference surface is the location given by the depth, otherwise the reference surface is the location given by the elevation.
isam:elevation	elevation	GeospatialCoordLocation	skos:narrowMatch	dwc:maximumDistanceAboveSurfaceInMeters	Maximum Distance Above Surface In Meters	dwc:Location	semapv:ManualMappingCuration	rdf property	rdf property	Should be a number and Unit of measure, and the vertical reference system. e.g. 401 m above mean sea level.	The greater distance in a range of distance from a reference surface in the vertical direction, in meters. Use positive values for locations above the surface, negative values for locations below. If depth measures are given, the reference surface is the location given by the depth, otherwise the reference surface is the location given by the elevation.
isam:latitude	latitude	GeospatialCoordLocation	skos:narrowMatch	dwc:decimalLatitude	Decimal Latitude	dwc:Location	semapv:ManualMappingCuration	rdf property	rdf property	Angular coordinate measured positive north from the equator.	The geographic latitude (in decimal degrees, using the spatial reference system given in dwc:geodeticDatum) of the geographic center of a dcterms:Location. Positive values are north of the Equator, negative values are south of it. Legal values lie between -90 and 90, inclusive.
isam:latitude	latitude	GeospatialCoordLocation	skos:relatedMatch	dwc:verbatimLatitude	Verbatim Latitude	dwc:Location	semapv:ManualMappingCuration	rdf property	rdf property	Angular coordinate measured positive north from the equator.	The verbatim original latitude of the dcterms:Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in dwc:verbatimSRS and the coordinate system should be stored in dwc:verbatimCoordinateSystem.
isam:longitude	longitude	GeospatialCoordLocation	skos:narrowMatch	dwc:decimalLongitude	Decimal Longitude	dwc:Location	semapv:ManualMappingCuration	rdf property	rdf property	Angular coordinate measured positive eastward from the prime meridian.	The geographic longitude (in decimal degrees, using the spatial reference system given in dwc:geodeticDatum) of the geographic center of a dcterms:Location. Positive values are east of the Greenwich Meridian, negative values are west of it. Legal values lie between -180 and 180, inclusive.
isam:longitude	longitude	GeospatialCoordLocation	skos:relatedMatch	dwc:verbatimLongitude	Verbatim Longitude	dwc:Location	semapv:ManualMappingCuration	rdf property	rdf property	Angular coordinate measured positive eastward from the prime meridian.	The verbatim original longitude of the dcterms:Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in dwc:verbatimSRS and the coordinate system should be stored in dwc:verbatimCoordinateSystem.
isam:obfuscated	obfuscated	GeospatialCoordLocation	skos:relatedMatch	dwc:dataGeneralizations	Data Generalizations		semapv:ManualMappingCuration	rdf property	rdf property	Flag to indicate that accuracy of provided coordinate location has been reduced (obfuscated) because the exact location is restricted information.	Actions taken to make the shared data less specific or complete than in its original form. Suggests that alternative data of higher quality may be available on request.
isam:obfuscated	obfuscated	GeospatialCoordLocation	skos:relatedMatch	dwc:informationWithheld	Information Withheld		semapv:ManualMappingCuration	rdf property	rdf property	Flag to indicate that accuracy of provided coordinate location has been reduced (obfuscated) because the exact location is restricted information.	Additional information that exists, but that has not been shared in the given record.
isam:access_constraints	access_constraints	MaterialSampleCuration	skos:relatedMatch	dcterms:accessRights	Access Rights		semapv:ManualMappingCuration	rdf property	rdf property	Cultural, legal, or other policy issues that bear on access to view, borrow, or subsample a sample or visit a sampling site.	Information about who can access the resource or an indication of its security status.
isam:access_constraints	access_constraints	MaterialSampleCuration	skos:relatedMatch	dcterms:rightsHolder	Rights Holder		semapv:ManualMappingCuration	rdf property	rdf property	Cultural, legal, or other policy issues that bear on access to view, borrow, or subsample a sample or visit a sampling site.	A person or organization owning or managing rights over the resource.
isam:access_constraints	access_constraints	MaterialSampleCuration	skos:relatedMatch	dcterms:license	License		semapv:ManualMappingCuration	rdf property	rdf property	Cultural, legal, or other policy issues that bear on access to view, borrow, or subsample a sample or visit a sampling site.	A legal document giving official permission to do something with the resource.
isam:curation_location	curation_location	MaterialSampleCuration	skos:relatedMatch	dwc:disposition	Disposition	dwc:MaterialEntity	semapv:ManualMappingCuration	rdf property	rdf property	Information about where and how the sample is currently stored.	The current state of a dwc:MaterialEntity with respect to a collection.
isam:description	description	MaterialSampleCuration	skos:closeMatch	dwc:materialEntityRemarks	Material Entity Remarks	dwc:MaterialEntity	semapv:ManualMappingCuration	rdf property	rdf property	Free text description of the subject of a triple.	Comments or notes about the dwc:MaterialEntity instance.
