csvw:table,dcterms:title,csvw:column,skos:description,csvw:datatype,csvw:format,skos:note,skos:example,vann:preferredNamespacePrefix,iri,csvw:required,dsd:isUnique,csvw:minLength
agent-agent-role,AgentAgentRole,agentID,An identifier for an Agent.,string,default,Recommended best practice is to use a globally unique identifier.,,gum,,True,False,
agent-agent-role,AgentAgentRole,relatedAgentID,An identifier for a related Agent.,string,default,Recommended best practice is to use a globally unique identifier.,,gum,,True,False,
agent-agent-role,AgentAgentRole,agentRole,The category that best matches the nature of a role of an Agent.,string,default,Recommended best practice is to use a controlled vocabulary for the roles appropriate to the class of resource an AgentRole is related to.,`collector`; `preparator`; `organizer`; `author`; `creator`; `owner`; `observer`; `director`; `husband`,gum,,,,
agent-agent-role,AgentAgentRole,agentRoleIRI,The IRI of the controlled vocabulary value for the role of an Agent.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
agent-agent-role,AgentAgentRole,agentRoleVocabulary,The reference to the controlled vocabulary where the definition of the value for agentRole is given.,string,default,,,gum,,,,
agent-agent-role,AgentAgentRole,agentRoleOrder,"The numerical position of an AgentRole in a set of AgentRoles that have the same combination of agentRole, agentRoleIRI, agentRoleVocabulary and related target.",integer,default,"One could use agentRoleOrder to create an ordered list of collectors (agentRole = 'collector') for a dwc:MaterialEntity, for example. The first would have agentRoleOrder=1, the second would have agentRoleOrder=2.",`1`; `2`; `3`,gum,,False,,1.0
agent-agent-role,AgentAgentRole,agentRoleDate,The interval during which an AgentRole was in effect.,string,default,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`2024-07-29`,gum,,,,
agent-identifier,AgentIdentifier,identifier,An unambiguous reference to a resource within a given context.,string,default,Recommended best practice is to identify a resource by means of a string conforming to a formal identification system.,,dcterms,http://purl.org/dc/terms/identifier,True,False,
agent-identifier,AgentIdentifier,agentID,An identifier for an Agent.,string,default,Recommended best practice is to use a globally unique identifier.,,gum,,True,False,
agent-identifier,AgentIdentifier,identifierType,The category or system that best matches the nature of an Identifier.,string,default,,,gum,,,,
agent-identifier,AgentIdentifier,identifierTypeIRI,The IRI of the controlled vocabulary value for the type of Identifier.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
agent-identifier,AgentIdentifier,identifierTypeVocabulary,The reference to the controlled vocabulary in which the definition of the value in identifierType is given.,string,default,,,gum,,,,
agent-identifier,AgentIdentifier,identifierLanguage,A language in which an Identifier is presented.,string,default,Recommended best prectice is to use an ISO639-2 three-letter language code.,`eng` (for Modern English); `spa` (for Castilian Standard Spanish),gum,,,,
agent-media,AgentMedia,mediaID,An identifier for a Media instance.,string,default,,,gum,,True,False,
agent-media,AgentMedia,agentID,An identifier for an Agent.,string,default,Recommended best practice is to use a globally unique identifier.,,gum,,True,False,
agent-media,AgentMedia,mediaSubjectCategory,A term to describe the content of the image by a value from a controlled vocabulary.,string,default,"Controlled vocabulary of subjects to support broad classification of media items. Terms from various controlled vocabularies may be used. AC-recommended vocabularies are preferred and MAY be unqualified literals (not a full URI). For terms from other vocabularies either a precise URI SHOULD be used, or, as long as all unqualified terms in all vocabularies are unique, metadata SHOULD provide the source vocabularies using the Subject Category Vocabulary term. The value SHOULD be a string, whose text can also be in the form of a URL. These guidelines on value format are less restrictive than is specified by the IPTC guidelines.",`herbarium sheet scan`,Iptc4xmpExt,http://iptc.org/std/Iptc4xmpExt/2008-02-29/CVterm,,,
agent-media,AgentMedia,mediaSubjectCategoryIRI,The IRI of the controlled vocabulary value for the subject category of the Media instance.,string,default,,,Iptc4xmpExt,http://iptc.org/std/Iptc4xmpExt/2008-02-29/CVterm,,,
agent-media,AgentMedia,mediaSubjectCategoryVocabulary,Any vocabulary or formal classification from which terms in the Subject Category have been drawn.,string,default,"The AC recommended vocabularies do not need to be cited here. There is no required linkage between individual Subject Category terms and the vocabulary; the mechanism is intended to support discovery of the normative URI for a term, but not guarantee it.",`herbarium sheet scan`,ac,http://rs.tdwg.org/ac/terms/subjectCategoryVocabulary,,,
agent,Agent,agentID,An identifier for an Agent.,string,default,Recommended best practice is to use a globally unique identifier.,,gum,,True,True,
agent,Agent,agentType,The category that best matches the type of an Agent.,string,default,Recommended best practice is to use a controlled vocabulary.,`person`; `group`; `organization`,gum,,,,
agent,Agent,agentTypeIRI,The IRI of the controlled vocabulary value for the type of Agent.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
agent,Agent,agentTypeVocabulary,The reference to the controlled vocabulary in which the definition of the value in agentType is given.,string,default,,,gum,,,,
agent,Agent,preferredAgentName,The name of an Agent preferred in searches and results.,string,default,,,gum,,,,
chronometric-age-agent-role,ChronometricAgeAgentRole,agentID,An identifier for an Agent.,string,default,Recommended best practice is to use a globally unique identifier.,,gum,,True,False,
chronometric-age-agent-role,ChronometricAgeAgentRole,chronometricAgeID,An identifier a chrono:ChronometricAge.,string,default,Recommended best practice is to use a globally unique identifier.,`https://www.canadianarchaeology.ca/samples/70673`,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeID,True,False,
chronometric-age-agent-role,ChronometricAgeAgentRole,agentRole,The category that best matches the nature of a role of an Agent.,string,default,Recommended best practice is to use a controlled vocabulary for the roles appropriate to the class of resource an AgentRole is related to.,`collector`; `preparator`; `organizer`; `author`; `creator`; `owner`; `observer`; `director`; `husband`,gum,,,,
chronometric-age-agent-role,ChronometricAgeAgentRole,agentRoleIRI,The IRI of the controlled vocabulary value for the role of an Agent.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
chronometric-age-agent-role,ChronometricAgeAgentRole,agentRoleVocabulary,The reference to the controlled vocabulary where the definition of the value for agentRole is given.,string,default,,,gum,,,,
chronometric-age-agent-role,ChronometricAgeAgentRole,agentRoleOrder,"The numerical position of an AgentRole in a set of AgentRoles that have the same combination of agentRole, agentRoleIRI, agentRoleVocabulary and related target.",integer,default,"One could use agentRoleOrder to create an ordered list of collectors (agentRole = 'collector') for a dwc:MaterialEntity, for example. The first would have agentRoleOrder=1, the second would have agentRoleOrder=2.",`1`; `2`; `3`,gum,,False,,1.0
chronometric-age-agent-role,ChronometricAgeAgentRole,agentRoleDate,The interval during which an AgentRole was in effect.,string,default,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`2024-07-29`,gum,,,,
chronometric-age-assertion,ChronometricAgeAssertion,assertionID,An identifier for an Assertion.,string,default,Recommended best practice is to use a globally unique identifier.,,dwc,http://rs.tdwg.org/dwc/terms/measurementID,True,True,
chronometric-age-assertion,ChronometricAgeAssertion,chronometricAgeID,An identifier a chrono:ChronometricAge.,string,default,Recommended best practice is to use a globally unique identifier.,`https://www.canadianarchaeology.ca/samples/70673`,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeID,True,False,
chronometric-age-assertion,ChronometricAgeAssertion,assertionType,The category that best matches the nature of an Assertion.,string,default,,`mass`; `mean mass`; `weight standard deviation`; `minimum organism quantity`; `water temperature`; `salinity`,gum,,,,
chronometric-age-assertion,ChronometricAgeAssertion,assertionTypeIRI,The IRI of the controlled vocabulary value for the type of Assertion.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
chronometric-age-assertion,ChronometricAgeAssertion,assertionTypeVocabulary,The reference to the controlled vocabulary where the definition of the value for assertionType is given.,string,default,,,gum,,,,
chronometric-age-assertion,ChronometricAgeAssertion,assertionMadeDate,The date on which an Assertion was created.,string,default,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`2024-07-29`,gum,,,,
chronometric-age-assertion,ChronometricAgeAssertion,assertionEffectiveDate,The date on which the state or measurement of an Assertion was deemed to first be in effect.,string,default,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`2024-07-29`,gum,http://rs.tdwg.org/dwc/terms/measurementDeterminedDate,,,
chronometric-age-assertion,ChronometricAgeAssertion,assertionValue,"An asserted value, if it is not numeric.",string,default,,`UV-light`,gum,,,,
chronometric-age-assertion,ChronometricAgeAssertion,assertionValueIRI,The IRI of the controlled vocabulary value for the value of an Assertion.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,`https://vocab.nerc.ac.uk/collection/S10/current/S103/`,gum,,,,
chronometric-age-assertion,ChronometricAgeAssertion,assertionValueVocabulary,The reference to the controlled vocabulary where the definition of the value for assertionValue is given.,string,default,,`https://vocab.nerc.ac.uk/collection/S10/current/`,gum,,,,
chronometric-age-assertion,ChronometricAgeAssertion,assertionValueNumeric,"An asserted value, if it is numeric.",number,default,,`0`; `1`; `14.5`,gum,,,,
chronometric-age-assertion,ChronometricAgeAssertion,assertionUnit,The units associated with the value in assertionValueNumeric.,string,default,"Recommended best practice is to use a controlled vocabulary such as the Ontology of Units of Measure http://www.wurvoc.org/vocabularies/om-1.8/ of SI units, derived units, or other non-SI units accepted for use within the SI. For units that are composed of multiple parts, use the patterns as given in ""A Primer for Communicating Mathematics via Plain Text"" (https://cse.sc.edu/~fenner/latex-ASCII.pdf) by Stephen Fenner (e.g., `g/cm^3` for grams per cubic centimeter). For other units, provide the value as a recognizable standard (e.g., '%') or written out in full and in the plural (e.g., `individuals`). It is fine to provide non-SI units in the original language of the dataset.",`m`; `g`; `l`; `s`; `°C`; `mm`; `km²`; `%`; `hh:mm:ss`,gum,http://rs.tdwg.org/dwc/terms/measurementUnit,,,
chronometric-age-assertion,ChronometricAgeAssertion,assertionUnitIRI,The IRI for the units of an assertionValueNumeric.,string,default,,,gum,,,,
chronometric-age-assertion,ChronometricAgeAssertion,assertionUnitVocabulary,The reference to the controlled vocabulary in which the definition of the value in assertionUnit is given.,string,default,,,gum,,,,
chronometric-age-assertion,ChronometricAgeAssertion,assertionBy,"A list (concatenated and separated) of names of people, groups, or organizations who made an Assertion.",string,default,,"`José E. Crespo`; `Oliver P. Pearson | Anita K. Pearson`, `FMNH`",dwc,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,,,
chronometric-age-assertion,ChronometricAgeAssertion,assertionByID,An identifier for an Agent who made an Assertion.,string,default,Recommended best practice is to use a globally unique identifier.,`https://orcid.org/0000-0002-1825-0097` (for an individual); `https://orcid.org/0000-0002-1825-0097 | https://orcid.org/0000-0002-1825-0098` (for a list of people),gum,,,,
chronometric-age-assertion,ChronometricAgeAssertion,assertionProtocol,"The names of, references to, or descriptions of the methods or protocols used in making an Assertion.",string,default,,,gum,http://rs.tdwg.org/dwc/terms/measurementMethod,,,
chronometric-age-assertion,ChronometricAgeAssertion,assertionProtocolID,An identifier for a Protocol used to make an Assertion.,string,default,,,gum,http://rs.tdwg.org/dwc/iri/measurementMethod,,,
chronometric-age-assertion,ChronometricAgeAssertion,assertionCitation,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with an Assertion.",string,default,Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,"`http://www.sciencemag.org/cgi/content/abstract/322/5899/261`; `Christopher J. Conroy, Jennifer L. Neuwald. 2008. Phylogeographic study of the California vole, Microtus californicus Journal of Mammalogy, 89(3):755-767.`; `Steven R. Hoofer and Ronald A. Van Den Bussche. 2001. Phylogenetic Relationships of Plecotine Bats and Allies Based on Mitochondrial Ribosomal Sequences. Journal of Mammalogy 82(1):131-137. | Walker, Faith M., Jeffrey T. Foster, Kevin P. Drees, Carol L. Chambers. 2014. Spotted bat (Euderma maculatum) microsatellite discovery using illumina sequencing. Conservation Genetics Resources.`",gum,,,,
chronometric-age-assertion,ChronometricAgeAssertion,assertionRemarks,Comments or notes about an Assertion.,string,default,,,gum,http://rs.tdwg.org/dwc/terms/measurementRemarks,,,
chronometric-age-citation,ChronometricAgeCitation,citationID,An identifier for a Citation.,string,default,,,gum,,True,True,
chronometric-age-citation,ChronometricAgeCitation,chronometricAgeID,An identifier a chrono:ChronometricAge.,string,default,Recommended best practice is to use a globally unique identifier.,`https://www.canadianarchaeology.ca/samples/70673`,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeID,True,False,
chronometric-age-citation,ChronometricAgeCitation,citationType,The category that best matches the nature of a Citation.,string,default,,,gum,,,,
chronometric-age-citation,ChronometricAgeCitation,citationTypeIRI,The IRI of the controlled vocabulary value for the type of Citation.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
chronometric-age-citation,ChronometricAgeCitation,citationTypeVocabulary,The reference to the controlled vocabulary in which the definition of the value in citationType is given.,string,default,,,gum,,,,
chronometric-age-citation,ChronometricAgeCitation,bibliographicCitation,A bibliographic reference for the resource.,string,default,"From Dublin Core, 'Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible.' The intended usage of this term in Darwin Core is to provide the preferred way to cite the resource itself. Note that the intended usage of dcterms:references in Darwin Core, by contrast, is to point to the definitive source representation of the resource, if one is available.","`Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:165861?seid=101356. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal.` (Occurrence example); `https://www.gbif.org/species/2439608 Source: GBIF Taxonomic Backbone` (Taxon example); `Rand, K.M., Logerwell, E.A. The first demersal trawl survey of benthic fish and invertebrates in the Beaufort Sea since the late 1970s. Polar Biol 34, 475–488 (2011). https://doi.org/10.1007/s00300-010-0900-2` (Event example)",dcterms,http://purl.org/dc/terms/bibliographicCitation,,,
chronometric-age-citation,ChronometricAgeCitation,pageNumber,The number of the page on which the citation occurs in the cited reference.,string,default,"From Dublin Core, 'Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible.' The intended usage of this term in Darwin Core is to provide the preferred way to cite the resource itself. Note that the intended usage of dcterms:references in Darwin Core, by contrast, is to point to the definitive source representation of the resource, if one is available.","`Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:165861?seid=101356. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal.` (Occurrence example); `https://www.gbif.org/species/2439608 Source: GBIF Taxonomic Backbone` (Taxon example); `Rand, K.M., Logerwell, E.A. The first demersal trawl survey of benthic fish and invertebrates in the Beaufort Sea since the late 1970s. Polar Biol 34, 475–488 (2011). https://doi.org/10.1007/s00300-010-0900-2` (Event example)",gum,,,,
chronometric-age-citation,ChronometricAgeCitation,referenceID,An identifier for the reference in which a Citation occurs.,string,default,,,gum,,,,
chronometric-age-citation,ChronometricAgeCitation,referenceType,The category that best matches the nature of a reference.,string,default,,`book`; `journal article`; `field notes`,gum,,,,
chronometric-age-citation,ChronometricAgeCitation,referenceTypeIRI,The IRI of the controlled vocabulary value for the type of reference.,string,default,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,gum,,,,
chronometric-age-citation,ChronometricAgeCitation,referenceTypeVocabulary,The reference to the controlled vocabulary in which the definition of the value in referenceType is given.,string,default,,,gum,,,,
chronometric-age-citation,ChronometricAgeCitation,referenceYear,The year the reference in a Citation was published.,integer,default,,`2024`,gum,,,,
chronometric-age-citation,ChronometricAgeCitation,isPeerReviewed,An indication of whether the reference for a Citation was peer reviewed.,boolean,default,,`true`; `false`,gum,,,,
chronometric-age-citation,ChronometricAgeCitation,citationRemarks,Comments or notes about a Citation.,string,default,,`true`; `false`,gum,,,,
chronometric-age-media,ChronometricAgeMedia,mediaID,An identifier for a Media instance.,string,default,,,gum,,True,False,
chronometric-age-media,ChronometricAgeMedia,chronometricAgeID,An identifier a chrono:ChronometricAge.,string,default,Recommended best practice is to use a globally unique identifier.,`https://www.canadianarchaeology.ca/samples/70673`,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeID,True,False,
chronometric-age-media,ChronometricAgeMedia,mediaSubjectCategory,A term to describe the content of the image by a value from a controlled vocabulary.,string,default,"Controlled vocabulary of subjects to support broad classification of media items. Terms from various controlled vocabularies may be used. AC-recommended vocabularies are preferred and MAY be unqualified literals (not a full URI). For terms from other vocabularies either a precise URI SHOULD be used, or, as long as all unqualified terms in all vocabularies are unique, metadata SHOULD provide the source vocabularies using the Subject Category Vocabulary term. The value SHOULD be a string, whose text can also be in the form of a URL. These guidelines on value format are less restrictive than is specified by the IPTC guidelines.",`herbarium sheet scan`,Iptc4xmpExt,http://iptc.org/std/Iptc4xmpExt/2008-02-29/CVterm,,,
chronometric-age-media,ChronometricAgeMedia,mediaSubjectCategoryIRI,The IRI of the controlled vocabulary value for the subject category of the Media instance.,string,default,,,Iptc4xmpExt,http://iptc.org/std/Iptc4xmpExt/2008-02-29/CVterm,,,
chronometric-age-media,ChronometricAgeMedia,mediaSubjectCategoryVocabulary,Any vocabulary or formal classification from which terms in the Subject Category have been drawn.,string,default,"The AC recommended vocabularies do not need to be cited here. There is no required linkage between individual Subject Category terms and the vocabulary; the mechanism is intended to support discovery of the normative URI for a term, but not guarantee it.",`herbarium sheet scan`,ac,http://rs.tdwg.org/ac/terms/subjectCategoryVocabulary,,,
chronometric-age-protocol,ChronometricAgeProtocol,protocolID,An identifier for a Protocol.,string,default,,,gum,,True,False,
chronometric-age-protocol,ChronometricAgeProtocol,chronometricAgeID,An identifier a chrono:ChronometricAge.,string,default,Recommended best practice is to use a globally unique identifier.,`https://www.canadianarchaeology.ca/samples/70673`,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeID,True,False,
chronometric-age,ChronometricAge,chronometricAgeID,An identifier for a chrono:ChronometricAge.,string,default,Recommended best practice is to use a globally unique identifier.,`https://www.canadianarchaeology.ca/samples/70673`,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeID,True,True,
chronometric-age,ChronometricAge,eventID,An identifier for a dwc:Event.,string,default,Recommended best practice is to use a globally unique identifier.,,dwc,http://rs.tdwg.org/dwc/terms/eventID,True,False,
chronometric-age,ChronometricAge,verbatimChronometricAge,"The verbatim age for a dwc:Event, whether reported by a dating assay, associated references, or legacy information.",string,default,"For example, this could be the radiocarbon age as given in an AMS dating report. This could also be simply what is reported as the age of a specimen in legacy collections data.",`27 BC to 14 AD`; `stratigraphically pre-1104`,chrono,http://rs.tdwg.org/chrono/terms/verbatimChronometricAge,,,
chronometric-age,ChronometricAge,chronometricAgeProtocol,A description of or reference to the methods used to determine a chrono:ChronometricAge.,string,default,,`radiocarbon AMS`; `K-Ar dates for the lower most marker tuff`; `historic documentation`; `ceramic seriation`,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeProtocol,,,
chronometric-age,ChronometricAge,chronometricAgeProtocolID,An identifier for the Protocol used to determine a ChronometricAge.,string,default,,,gum,,,,
chronometric-age,ChronometricAge,uncalibratedChronometricAge,The output of a dating assay before it is calibrated into an age using a specific conversion protocol.,string,default,,`1510 +/- 25 14C yr BP`; `16.26 Ma +/- 0.016`,chrono,http://rs.tdwg.org/chrono/terms/uncalibratedChronometricAge,,,
chronometric-age,ChronometricAge,chronometricAgeConversionProtocol,"The method used for converting the chrono:uncalibratedChronometricAge into a chronometric age in years, as captured in the chrono:earliestChronometricAge, chrono:earliestChronometricAgeReferenceSystem, chrono:latestChronometricAge, and chrono:latestChronometricAgeReferenceSystem fields.",string,default,"For example, calibration of conventional radiocarbon age or the currently accepted age range of a cultural or geological period.",`INTCAL13`; `sequential 6 phase Bayesian model and IntCal13 calibration`,chrono,http://rs.tdwg.org/chrono/terms/chronometricAgeConversionProtocol,,,
chronometric-age,ChronometricAge,chronometricAgeConversionProtocolID,"An identifier for the Protocol used to convert a chrono:uncalibratedChronometricAge into a chronometric age in years, as captured in the chrono:earliestChronometricAge, chrono:earliestChronometricAgeReferenceSystem, chrono:latestChronometricAge, and chrono:latestChronometricAgeReferenceSystem fields.",string,default,,,gum,,,,
chronometric-age,ChronometricAge,earliestChronometricAge,The maximum/earliest/oldest possible age of a specimen as determined by a dating method.,string,default,"The expected unit for this field is years. This field, if populated, must have an associated chrono:earliestChronometricAgeReferenceSystem.",`100`,chrono,http://rs.tdwg.org/chrono/terms/earliestChronometricAge,,,
