csvw:title,csvw:table,csvw:foreignKey,csvw:tableReference,csvw:columnReference
AgentAgentRole,agent-agent-role,agentID,agent,agentID
AgentAgentRole,agent-agent-role,relatedAgentID,agent,agentID
AgentIdentifier,agent-identifier,agentID,agent,agentID
AgentMedia,agent-media,mediaID,media,mediaID
AgentMedia,agent-media,agentID,agent,agentID
ChronometricAgeAgentRole,chronometric-age-agent-role,agentID,agent,agentID
ChronometricAgeAgentRole,chronometric-age-agent-role,chronometricAgeID,chronometric-age,chronometricAgeID
ChronometricAgeAssertion,chronometric-age-assertion,chronometricAgeID,chronometric-age,chronometricAgeID
ChronometricAgeAssertion,chronometric-age-assertion,assertionProtocolID,protocol,protocolID
ChronometricAgeCitation,chronometric-age-citation,chronometricAgeID,chronometric-age,chronometricAgeID
ChronometricAgeMedia,chronometric-age-media,mediaID,media,mediaID
ChronometricAgeMedia,chronometric-age-media,chronometricAgeID,chronometric-age,chronometricAgeID
ChronometricAgeProtocol,chronometric-age-protocol,protocolID,protocol,protocolID
ChronometricAgeProtocol,chronometric-age-protocol,chronometricAgeID,chronometric-age,chronometricAgeID
ChronometricAge,chronometric-age,eventID,event,eventID
ChronometricAge,chronometric-age,materialDatedID,material,materialEntityID
ChronometricAge,chronometric-age,chronometricAgeProtocolID,protocol,protocolID
ChronometricAge,chronometric-age,chronometricAgeConversionProtocolID,protocol,protocolID
CollectionAgentRole,collection-agent-role,agentID,agent,agentID
CollectionAgentRole,collection-agent-role,collectionID,collection,collectionID
CollectionAssertion,collection-assertion,collectionID,collection,collectionID
CollectionAssertion,collection-assertion,assertionProtocolID,protocol,protocolID
CollectionMedia,collection-media,mediaID,media,mediaID
CollectionMedia,collection-media,collectionID,collection,collectionID
EventAgentRole,event-agent-role,agentID,agent,agentID
EventAgentRole,event-agent-role,eventID,event,eventID
EventAssertion,event-assertion,eventID,event,eventID
EventAssertion,event-assertion,assertionProtocolID,protocol,protocolID
EventCitation,event-citation,eventID,event,eventID
EventIdentifier,event-identifier,eventID,event,eventID
EventMedia,event-media,mediaID,media,mediaID
EventMedia,event-media,eventID,event,eventID
EventProtocol,event-protocol,protocolID,protocol,protocolID
