rr:tableName,uri,dcterms:source,skos:prefLabel,skos:definition
agent-agent-role,http://rs.gbif.org/data-packages/dwc-dp/agent-agent-role,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/agent-agent-role.json,AgentAgentRole,A role filled by an Agent with respect to another Agent.
agent-identifier,http://rs.gbif.org/data-packages/dwc-dp/agent-identifier,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/agent-identifier.json,AgentIdentifier,An identifier for an Agent.
agent-media,http://rs.gbif.org/data-packages/dwc-dp/agent-media,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/agent-media.json,AgentMedia,A link establishing an Agent as content in a Media entity.
agent,http://rs.gbif.org/data-packages/dwc-dp/agent,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/agent.json,Agent,"A person, group, organization or other entity that can act."
chronometric-age-agent-role,http://rs.gbif.org/data-packages/dwc-dp/chronometric-age-agent-role,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/chronometric-age-agent-role.json,ChronometricAgeAgentRole,A role filled by an Agent with respect to a chrono:ChronometricAge.
chronometric-age-assertion,http://rs.gbif.org/data-packages/dwc-dp/chronometric-age-assertion,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/chronometric-age-assertion.json,ChronometricAgeAssertion,An Assertion made by an Agent about a chrono:ChronometricAge.
chronometric-age-citation,http://rs.gbif.org/data-packages/dwc-dp/chronometric-age-citation,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/chronometric-age-citation.json,ChronometricAgeCitation,A citation of a chrono:ChronometricAge in a bibliographic reference.
chronometric-age-media,http://rs.gbif.org/data-packages/dwc-dp/chronometric-age-media,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/chronometric-age-media.json,ChronometricAgeMedia,A link establishing a chrono:ChronometricAge as content of a Media entity.
chronometric-age-protocol,http://rs.gbif.org/data-packages/dwc-dp/chronometric-age-protocol,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/chronometric-age-protocol.json,ChronometricAgeProtocol,A link establishing a Protocol used in the determination of a chrono:ChronometricAge.
chronometric-age,http://rs.gbif.org/data-packages/dwc-dp/chronometric-age,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/chronometric-age.json,ChronometricAge,An approximation of temporal position (in the sense conveyed by https://www.w3.org/TR/owl-time/#time:TemporalPosition) that is supported by evidence.
collection-agent-role,http://rs.gbif.org/data-packages/dwc-dp/collection-agent-role,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/collection-agent-role.json,CollectionAgentRole,A role filled by an Agent with respect to a Collection.
collection-assertion,http://rs.gbif.org/data-packages/dwc-dp/collection-assertion,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/collection-assertion.json,CollectionAssertion,An Assertion made by an Agent about a Collection.
collection-media,http://rs.gbif.org/data-packages/dwc-dp/collection-media,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/collection-media.json,CollectionMedia,A link establishing a Collection as content in a Media entity.
collection,http://rs.gbif.org/data-packages/dwc-dp/collection,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/collection.json,Collection,A persistent formal repository in which dwc:MaterialEntities and/or Media are preserved.
event-agent-role,http://rs.gbif.org/data-packages/dwc-dp/event-agent-role,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/event-agent-role.json,EventAgentRole,A role filled by an Agent with respect to a dwc:Event.
event-assertion,http://rs.gbif.org/data-packages/dwc-dp/event-assertion,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/event-assertion.json,EventAssertion,An Assertion made by an Agent about a dwc:Event.
event-citation,http://rs.gbif.org/data-packages/dwc-dp/event-citation,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/event-citation.json,EventCitation,A citation of a dwc:Event in a bibliographic reference.
event-identifier,http://rs.gbif.org/data-packages/dwc-dp/event-identifier,http://rs.gbif.org/sandbox/experimental/data-packages/dwc-dp/0.1/table-schemas/event-identifier.json,EventIdentifier,An identifier for a dwc:Event.
