rdfs:label	skos:prefLabel	skos:definition	skos:note	skos:example	class_uri	rdf:type	term_iri
type	Type	The nature or genre of the resource.	Must be populated with a value from the DCMI type vocabulary (http://dublincore.org/documents/2010/10/11/dcmi-type-vocabulary/).	`StillImage`; `MovingImage`; `Sound`; `PhysicalObject`; `Event`; `Text`	http://purl.org/dc/elements/1.1/	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://purl.org/dc/elements/1.1/type
modified	Date Modified	The most recent date-time on which the resource was changed.	Recommended best practice is to use a date that conforms to ISO 8601-1:2019.	`1963-03-08T14:07-0600` (8 Mar 1963 at 2:07pm in the time zone six hours earlier than UTC); `2009-02-20T08:40Z` (20 February 2009 8:40am UTC); `2018-08-29T15:19` (3:19pm local time on 29 August 2018); `1809-02-12` (some time during 12 February 1809); `1906-06` (some time in June 1906); `1971` (some time in the year 1971); `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (some time during the interval between 1 March 2007 1pm UTC and 11 May 2008 3:30pm UTC); `1900/1909` (some time during the interval between the beginning of the year 1900 and the end of the year 1909); `2007-11-13/15` (some time in the interval between 13 November 2007 and 15 November 2007)	http://purl.org/dc/terms/	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://purl.org/dc/terms/modified
language	Language	A language of the resource.	Recommended best practice is to use a controlled vocabulary such as RFC 5646.	`en` (for English); `es` (for Spanish)	http://purl.org/dc/elements/1.1/	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://purl.org/dc/elements/1.1/language
license	License	A legal document giving official permission to do something with the resource.		`http://creativecommons.org/publicdomain/zero/1.0/legalcode`; `http://creativecommons.org/licenses/by/4.0/legalcode`	http://purl.org/dc/terms/	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://purl.org/dc/terms/license
rightsHolder	Rights Holder	A person or organization owning or managing rights over the resource.		`The Regents of the University of California`	http://purl.org/dc/terms/	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://purl.org/dc/terms/rightsHolder
accessRights	Access Rights	Information about who can access the resource or an indication of its security status.	Access Rights may include information regarding access or restrictions based on privacy, security, or other policies.	`not-for-profit use only` (string literal example); `https://www.fieldmuseum.org/field-museum-natural-history-conditions-and-suggested-norms-use-collections-data-and-images` (URI example)	http://purl.org/dc/terms/	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://purl.org/dc/terms/accessRights
bibliographicCitation	Bibliographic Citation	A bibliographic reference for the resource.	"From Dublin Core, ""Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible."" The intended usage of this term in Darwin Core is to provide the preferred way to cite the resource itself - ""how to cite this record"". Note that the intended usage of dcterms:references in Darwin Core, by contrast, is to point to the definitive source representation of the resource - ""where to find the as-close-to-original reference, if one is available."	`Museum of Vertebrate Zoology, UC Berkeley. MVZ Mammal Collection (Arctos). Record ID: http://arctos.database.museum/guid/MVZ:Mamm:165861?seid=101356. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=mvz_mammal.` (Occurrence example); `https://www.gbif.org/species/2439608 Source: GBIF Taxonomic Backbone` (Taxon example); `Rand, K.M., Logerwell, E.A. The first demersal trawl survey of benthic fish and invertebrates in the Beaufort Sea since the late 1970s. Polar Biol 34, 475â€“488 (2011). https://doi.org/10.1007/s00300-010-0900-2` (Event example)	http://purl.org/dc/terms/	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://purl.org/dc/terms/bibliographicCitation
references	References	A related resource that is referenced, cited, or otherwise pointed to by the described resource.	"From Dublin Core, ""This property is intended to be used with non-literal values. This property is an inverse property of Is Referenced By."" The intended usage of this term in Darwin Core is to point to the definitive source representation of the resource (e.g.,Taxon, Occurrence, Event in Darwin Core), if one is available. Note that the intended usage of dcterms:bibliographicCitation in Darwin Core, by contrast, is to provide the preferred way to cite the resource itself."	`http://arctos.database.museum/guid/MVZ:Mamm:165861` (MaterialEntity example); `https://www.catalogueoflife.org/data/taxon/32664` (Taxon example)	http://purl.org/dc/terms/	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://purl.org/dc/terms/references
institutionID	Institution ID	An identifier for the institution having custody of the object(s) or information referred to in the record.	For physical specimens, the recommended best practice is to use a globally unique and resolvable identifier from a collections registry such as the Research Organization Registry (ROR) or the Global Registry of Scientific Collections (https://www.gbif.org/grscicoll).	`https://ror.org/015hz7p22`; `http://grscicoll.org/institution/museum-southwestern-biology`; `https://www.gbif.org/grscicoll/institution/e3d4dcc4-81e2-444c-8a5c-41d1044b5381`		http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/institutionID
collectionID	Collection ID	An identifier for the collection or dataset from which the record was derived.	For physical specimens, the recommended best practice is to use a globally unique and resolvable identifier from a collections registry such as the Global Registry of Scientific Collections (https://www.gbif.org/grscicoll).	`https://www.gbif.org/grscicoll/collection/fbd3ed74-5a21-4e01-b86a-33d36f032d9c`		http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/collectionID
datasetID	Dataset ID	An identifier for the set of data. May be a global unique identifier or an identifier specific to a collection or institution.		`b15d4952-7d20-46f1-8a3e-556a512b04c5`		http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/datasetID
institutionCode	Institution Code	The name (or acronym) in use by the institution having custody of the object(s) or information referred to in the record.		`MVZ`; `FMNH`; `CLO`; `UCMP`		http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/institutionCode
collectionCode	Collection Code	The name, acronym, coden, or initialism identifying the collection or data set from which the record was derived.		`Mammals`; `Hildebrandt`; `EBIRD`; `VP`		http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/collectionCode
datasetName	Dataset Name	The name identifying the data set from which the record was derived.		`Grinnell Resurvey Mammals`; `Lacey Ctenomys Recaptures`		http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/datasetName
ownerInstitutionCode	Owner Institution Code	The name (or acronym) in use by the institution having ownership of the object(s) or information referred to in the record.		`NPS`; `APN`; `InBio`		http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/ownerInstitutionCode
basisOfRecord	Basis Of Record	The specific nature of the data record.	Recommended best practice is to use a controlled vocabulary such as the set of local names of the identifiers for classes in Darwin Core.	`MaterialEntity`; `PreservedSpecimen`; `FossilSpecimen`; `LivingSpecimen`; `MaterialSample`; `Event`; `HumanObservation`; `MachineObservation`; `Taxon`; `Occurrence`; `MaterialCitation`		http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/basisOfRecord
informationWithheld	Information Withheld	Additional information that exists, but that has not been shared in the given record.	This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.	`location information not given for endangered species`; `collector identities withheld | ask about tissue samples`		http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/informationWithheld
dataGeneralizations	Data Generalizations	Actions taken to make the shared data less specific or complete than in its original form. Suggests that alternative data of higher quality may be available on request.	This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.	`Coordinates generalized from original GPS coordinates to the nearest half degree grid cell`.		http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/dataGeneralizations
dynamicProperties	Dynamic Properties	A list of additional measurements, facts, characteristics, or assertions about the record. Meant to provide a mechanism for structured content.	Recommended best practice is to use a key:value encoding schema for a data interchange format such as JSON.	"`{""heightInMeters"":1.5}`; `{""targusLengthInMeters"":0.014, ""weightInGrams"":120}`; `{""natureOfID"":""expert identification"", ""identificationEvidence"":""cytochrome B sequence""}`; `{""relativeHumidity"":28, ""airTemperatureInCelsius"":22, ""sampleSizeInKilograms"":10}`; `{""aspectHeading"":277, ""slopeInDegrees"":6}`; `{""iucnStatus"":""vulnerable"", ""taxonDistribution"":""NeuquÃ©n, Argentina""}`"		http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/dynamicProperties
Occurrence	Occurrence	An existence of a dwc:Organism at a particular place at a particular time.		`a wolf pack on the shore of Kluane Lake in 1988`; `a virus in a plant leaf in the New York Botanical Garden at 15:29 on 2014-10-23`; `a fungus in Central Park in the summer of 1929`		http://www.w3.org/2000/01/rdf-schema#Class	http://rs.tdwg.org/dwc/terms/Occurrence
occurrenceID	Occurrence ID	An identifier for the dwc:Occurrence (as opposed to a particular digital record of the dwc:Occurrence). In the absence of a persistent global unique identifier, construct one from a combination of identifiers in the record that will most closely make the dwc:occurrenceID globally unique.	Recommended best practice is to use a persistent, globally unique identifier.	`http://arctos.database.museum/guid/MSB:Mamm:233627`; `000866d2-c177-4648-a200-ead4007051b9`; `urn:catalog:UWBM:Bird:89776`	http://rs.tdwg.org/dwc/terms/Occurrence	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/occurrenceID
catalogNumber	Catalog Number	An identifier (preferably unique) for the record within the data set or collection.		`145732`; `145732a`; `2008.1334`; `R-4313`	http://rs.tdwg.org/dwc/terms/Occurrence	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/catalogNumber
recordNumber	Record Number	An identifier given to the dwc:Occurrence at the time it was recorded. Often serves as a link between field notes and a dwc:Occurrence record, such as a specimen collector's number.	This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.	`OPP 7101`	http://rs.tdwg.org/dwc/terms/Occurrence	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/recordNumber
recordedBy	Recorded By	A list (concatenated and separated) of names of people, groups, or organizations responsible for recording the original dwc:Occurrence. The primary collector or observer, especially one who applies a personal identifier (dwc:recordNumber), should be listed first.	Recommended best practice is to separate the values in a list with space vertical bar space (` | `). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.	`JosÃ© E. Crespo`; `Oliver P. Pearson | Anita K. Pearson` (where the value in recordNumber `OPP 7101` corresponds to the collector number for the specimen in the field catalog of Oliver P. Pearson)	http://rs.tdwg.org/dwc/terms/Occurrence	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/recordedBy
recordedByID	Recorded By ID	A list (concatenated and separated) of the globally unique identifier for the person, people, groups, or organizations responsible for recording the original dwc:Occurrence.	Recommended best practice is to provide a single identifier that disambiguates the details of the identifying agent. If a list is used, it is recommended to separate the values in the list with space vertical bar space (` | `). The order of the identifiers on any list for this term can not be guaranteed to convey any semantics.	`https://orcid.org/0000-0002-1825-0097` (for an individual); `https://orcid.org/0000-0002-1825-0097 | https://orcid.org/0000-0002-1825-0098` (for a list of people)	http://rs.tdwg.org/dwc/terms/Occurrence	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/recordedByID
individualCount	Individual Count	The number of individuals present at the time of the dwc:Occurrence.		`0`; `1`; `25`	http://rs.tdwg.org/dwc/terms/Occurrence	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/individualCount
organismQuantity	Organism Quantity	A number or enumeration value for the quantity of dwc:Organisms.	A dwc:organismQuantity must have a corresponding dwc:organismQuantityType.	`27` (organismQuantity) with `individuals` (organismQuantityType); `12.5` (organismQuantity) with `% biomass` (organismQuantityType); `r` (organismQuantity) with `Braun-Blanquet Scale` (organismQuantityType); `many` (organismQuantity) with `individuals` (organismQuantityType)	http://rs.tdwg.org/dwc/terms/Occurrence	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/organismQuantity
organismQuantityType	Organism Quantity Type	The type of quantification system used for the quantity of dwc:Organisms.	A dwc:organismQuantityType must have a corresponding dwc:organismQuantity. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.	`27` (organismQuantity) with `individuals` (organismQuantityType); `12.5` (organismQuantity) with `% biomass` (organismQuantityType); `r` (organismQuantity) with `Braun-Blanquet Scale` (organismQuantityType); `many` (organismQuantity) with `individuals` (organismQuantityType)	http://rs.tdwg.org/dwc/terms/Occurrence	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/organismQuantityType
sex	Sex	The sex of the biological individual(s) represented in the dwc:Occurrence.	Recommended best practice is to use a controlled vocabulary. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.	`female`; `male`; `hermaphrodite`	http://rs.tdwg.org/dwc/terms/Occurrence	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/sex
lifeStage	Life Stage	The age class or life stage of the dwc:Organism(s) at the time the dwc:Occurrence was recorded.	Recommended best practice is to use a controlled vocabulary. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.	`zygote`; `larva`; `juvenile`; `adult`; `seedling`; `flowering`; `fruiting`	http://rs.tdwg.org/dwc/terms/Occurrence	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/lifeStage
reproductiveCondition	Reproductive Condition	The reproductive condition of the biological individual(s) represented in the dwc:Occurrence.	Recommended best practice is to use a controlled vocabulary. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.	`non-reproductive`; `pregnant`; `in bloom`; `fruit-bearing`	http://rs.tdwg.org/dwc/terms/Occurrence	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/reproductiveCondition
caste	Caste	Categorisation of individuals for eusocial species (including some mammals and arthropods).	Recommended best practice is to use a controlled vocabulary that aligns best with the dwc:Taxon. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.	`queen`; `male alate`; `intercaste`; `minor worker`; `soldier`; `ergatoid`	http://rs.tdwg.org/dwc/terms/Occurrence	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/caste
behavior	Behavior	The behavior shown by the subject at the time the dwc:Occurrence was recorded.	This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.	`roosting`; `foraging`; `running`	http://rs.tdwg.org/dwc/terms/Occurrence	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/behavior
vitality	Vitality	An indication of whether a dwc:Organism was alive or dead at the time of collection or observation.	Recommended best practice is to use a controlled vocabulary. Intended to be used with records having a dwc:basisOfRecord of `PreservedSpecimen`, `MaterialEntity`, `MaterialSample`, or `HumanObservation`. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.	`alive`; `dead`; `mixedLot`; `uncertain`; `notAssessed`	http://rs.tdwg.org/dwc/terms/Occurrence	http://www.w3.org/1999/02/22-rdf-syntax-ns#Property	http://rs.tdwg.org/dwc/terms/vitality
