skos:prefLabel	skos:definition	skos:note	skos:broader	skos:example	skos:scopeNote	uri
Anthropogenic metal material 	Metal that has been produced or used by humans. Samples of naturally occurring metallic material (e.g. native copper, gold nuggets) should be considered mineral material. Metallic material is material that when polished or fractured, shows a lustrous appearance, and conducts electricity and heat relatively well. Metals are typically malleable (they can be hammered into thin sheets) or ductile (can be drawn into wires). The boundaries between metals, nonmetals, and metalloids fluctuate slightly due to a lack of universally accepted definitions of the categories involved. (https://en.wikipedia.org/wiki/Metal, c.f. http://purl.obolibrary.org/obo/ENVO_01001069)		Anthropogenic material			https://w3id.org/isample/vocabulary/material/anthropogenicmetal
Anthropogenic material	Material produced by human activity.		Material 		Material that would not be found in nature without human intervention. Thus clay would be a Mineral material, but fired clay in a brick or ceramic would be an Anthropogenic material.   Native copper would be a Mineral, but smelted copper, extracted from ore that might include native copper (among other sulfide and oxide minerals) would be Anthropogenic metal material.	https://w3id.org/isample/vocabulary/material/anyanthropogenicmaterial
Any ice	a material that is in a solid state under the temperature and pressure conditions of the preserved sample, but is a liquid or gas at Standard Temperature and Pressure (STP).	The US National Institute of Standards and Technology (NIST) standard temperature and pressure (STP) is 20°C (68°F) and 1 atm (14.696 psi, 101.325 kPa). This standard is also known as normal temperature and pressure (NTP).	Material 		Samples of non-aqueous ice should be classified as Any ice, based on decision that distinguishing ice that might or might not be aqueous from non-aqueous ice does not merit adding another class to the scheme.	https://w3id.org/isample/vocabulary/material/anyice
Biogenic non-organic material	Material produced by an organism but not composed of very large molecules of biological origin. E.g. bone, tooth, shell, coral skeleton,	Include ash from burned biogenic material. Biogenic non-organic material is intended to cover biogenic products consisting of mineral or mineraloid substance, e.g. apatite (or other Ca phosphates), aragonite (or other Ca carbonate) typical of shells, bone, teeth.	Material 			https://w3id.org/isample/vocabulary/material/biogenicnonorganicmaterial
Dispersed media	Material that contains discrete elements of some material dispersed in a continuous fluid medium.  The dispersed component can be a gas, a liquid or a solid (based on https://en.wikipedia.org/wiki/Dispersed_media). Does not include mixtures of granular material like soil, sediment, particulate, or solids that would be considered  rock material.		Material 	aerosol obo:ENVO_00010505, foam obo:ENVO_00005738, emulsion obo:ENVO_00010506, colloidal suspension obo:ENVO_01001560, scum(?) obo:ENVO_00003930. (prefix obo: http://purl.obolibrary.org/obo/)		https://w3id.org/isample/vocabulary/material/dispersedmedia
Natural Solid Material	A naturally occurring solid material that is not anthropogenic, biogenic, or ice.		Material 			https://w3id.org/isample/vocabulary/material/earthmaterial
Fluid material	Substance that continually deforms (flows) under an applied shear stress, or external force. Fluids are a phase of matter and include liquids, gases and plasmas. They are substances with zero or small shear modulus, and flow at a perceptible rate under any shear force applied to them. (https://en.wikipedia.org/wiki/Fluid)		Material 			https://w3id.org/isample/vocabulary/material/fluid
Gaseous material	Material composed of one or more chemical entities that has neither independent shape nor volume but tends to expand indefinitely (http://purl.obolibrary.org/obo/ENVO_01000797). Infer that the sample is curated in some kind of container.		Fluid material			https://w3id.org/isample/vocabulary/material/gas
Liquid water	A material primarily composed of dihydrogen oxide in its liquid form; infer that the sample is curated in some kind of container.		Fluid material			https://w3id.org/isample/vocabulary/material/liquidwater
Material 	Top Concept in iSamples Material Category scheme					https://w3id.org/isample/vocabulary/material/material
