skos:prefLabel,term,skos:broader,skos:altLabel,skos:definition,skos:note,uri
Active human occupation site,sf:activehumanoccupationsite,sf:anthropogenicenvironment,,sampled feature is a site at which there are ongoing human activities,,https://w3id.org/isample/vocabulary/sampledfeature/activehumanoccupationsite
Anthropogenic environment,sf:anthropogenicenvironment,sf:anysampledfeature,,Sampled feature is produced by or related to human activity past or present.,,https://w3id.org/isample/vocabulary/sampledfeature/anthropogenicenvironment
Any sampled feature,sf:anysampledfeature,,,Any thing that can be sampled. Top concept in sampled feature type vocabulary.,,https://w3id.org/isample/vocabulary/sampledfeature/anysampledfeature
Atmosphere,sf:atmosphere,sf:earthenvironment,,Sampled feature is the Earths atmosphere,,https://w3id.org/isample/vocabulary/sampledfeature/atmosphere
Biological entity,sf:biologicalentity,sf:anysampledfeature,,"Sampled feature is an organism. Use for samples that represent some species of organism as the proximate sampled feature, not the environment that the organism inhabits.",domain specific vocabulary extensions will be useful to distinguish samples from different phyla/order/class...,https://w3id.org/isample/vocabulary/sampledfeature/biologicalentity
Earth environment,sf:earthenvironment,sf:anysampledfeature,,Sampled feature is the natural Earth environment,,https://w3id.org/isample/vocabulary/sampledfeature/earthenvironment
Earth interior,sf:earthinterior,sf:earthenvironment,,Sampled feature is solid material from within the Earth,fluids in pore space in earth interior sample Subsurface fluid reservoir,https://w3id.org/isample/vocabulary/sampledfeature/earthinterior
Earth surface,sf:earthsurface,sf:earthenvironment,,"Sampled feature is the interface between solid earth and hydrosphere or atmosphere. Includes samples representing things collected on the surface, in the uppermost part of the material below the surface, or air or water directly at the contact with the Earth surface.",,https://w3id.org/isample/vocabulary/sampledfeature/earthsurface
Experiment setting,sf:experimentsetting,sf:activehumanoccupationsite,,Sampled feature is an experimental set up that produced the sample; the sample is the product of the experiment.,,https://w3id.org/isample/vocabulary/sampledfeature/experimentsetting
Extraterrestrial environment,sf:extraterrestrialenvironment,sf:anysampledfeature,,"Sampled feature is the environment outside of solid earth, hydrosphere, or atmosphere.",,https://w3id.org/isample/vocabulary/sampledfeature/extraterrestrialenvironment
Glacier environment,sf:glacierenvironment,sf:earthenvironment,,"Sampled feature is a glacier, ice sheet, ice shelf, iceberg, or rock or water directly under or on top of such ice.",,https://w3id.org/isample/vocabulary/sampledfeature/glacierenvironment
Laboratory or curatorial environment,sf:laboratoryorcuratorialenvironment,sf:activehumanoccupationsite,,"Sampled feature is a laboratory or other research site, collected with intention of characterizing the environment in which data are collected or other research conducted, that might affect results or safety; e.g. lab blank measurements.",,https://w3id.org/isample/vocabulary/sampledfeature/laboratorycuratorialenvironment
Lake river or stream bottom,sf:lakeriverorstreambottom,sf:earthsurface,,Sampled feature is the interface between the solid Earth interface and a lake or flowing water body.,,https://w3id.org/isample/vocabulary/sampledfeature/lakeriverstreambottom
Marine environment,sf:marinewaterbody,sf:waterbody,,Sampled feature is the marine hydrosphere.,,https://w3id.org/isample/vocabulary/sampledfeature/marinewaterbody
Marine water body bottom,sf:marinewaterbodybottom,sf:earthsurface,Sea floor,Sampled feature is the interface between the solid Earth and a marine or brackish water body. IncludesÂ benthic boundary layer: the bottom layer of water and the uppermost layer of sediment directly influenced by the overlying water.,,https://w3id.org/isample/vocabulary/sampledfeature/marinewaterbodybottom
Site of past human activities,sf:siteofpasthumanactivities,sf:anthropogenicenvironment,,sampled feature is a place where humans have been and left evidence of their activity. Includes prehistoric and paleo hominid sites,,https://w3id.org/isample/vocabulary/sampledfeature/pasthumanoccupationsite
Subaerial surface environment,sf:subaerialsurfaceenvironment,sf:earthsurface,,"sampled feature is the interface between solid Earth and atmosphere. Sample is collected on the surface, or immediately below surface (zone of bioturbation). Include soil and recently deposited subaerial sediment at the surface.",,https://w3id.org/isample/vocabulary/sampledfeature/subaerialsurfaceenvironment
Subsurface fluid reservoir,sf:subsurfacefluidreservoir,sf:earthenvironment,,"Sampled feature is fluid that resides in fractures, intergranular porosity or other open space in the solid earth.",,https://w3id.org/isample/vocabulary/sampledfeature/subsurfacefluidreservoir
Terrestrial water body,sf:terrestrialwaterbody,sf:waterbody,,"Sampled feature is terrestrial hydrosphere-- lake, other standing water, or a flowing water body (river, stream..). Include saline water in terrestrial evaporite environments.",,https://w3id.org/isample/vocabulary/sampledfeature/terrestrialwaterbody
Water body,sf:waterbody,sf:earthenvironment,,Sampled feature is the Earths hydrosphere.,,https://w3id.org/isample/vocabulary/sampledfeature/waterbody
