rdfs:label	rdfs:Class	skos:definition	datatype	
affiliation	Agent	Name of an organization that employes or sponsors a person for the role they play relative to sample collection or curation.	string	
contact_information	Agent	e-mail address, telephone number, mailing address, or web site through which an agent can be contacted. Something that should be stable and reliable.	string	
identifier	Agent	a string that identifies some resource. Expectation is that it is a URI that is resolvable to some useful represenation of the resource.	string	
name	Agent	string, name of a person. Format {}firstName MI lastName}.	string	
role	Agent	term that specifies how a person is related to a sample curation or collection activity.	string	
elevation	GeospatialCoordLocation	Should be a number and Unit of measure, and the vertical reference system. e.g. 401 m above mean sea level.	string	
latitude	GeospatialCoordLocation	angular coordinate measured positive north from the equator.	number	
longitude	GeospatialCoordLocation	angular coordinate measured positive eastward from the prime meridian.	number	
obfuscated	GeospatialCoordLocation	Flag to indicate that accuracy of provided coordinate location has been reduced (obfuscated) because the exact location is restricted information.	boolean	
identifier	IdentifierObject	a string that identifies some resource. Expectation is that it is a URI that is resolvable to some useful represenation of the resource.	string	
label	IdentifierObject	a human intelligible string used to identify a thing, i.e. the name to use for the thing; should be unique in the scope of a sample collection or dataset.	string	
scheme_name	IdentifierObject	string label for the concept scheme or vocabulary within which the keyword concept is defined. The scheme name can be used to scope keyword to particular categories, e.g. 'CGI rock classification', 'GCMD keywords', 'Getty AAT'	string	
keyword	Keyword	string label for a concept that characterizes the sample in some respect	string	
keyword_uri	Keyword	an identifier for the keyword concept	string	
scheme_name	Keyword	string label for the concept scheme or vocabulary within which the keyword concept is defined. The scheme name can be used to scope keyword to particular categories, e.g. 'CGI rock classification', 'GCMD keywords', 'Getty AAT'	string	
scheme_uri	Keyword	Identifier for the concept scheme or vocabulary within which the keyword concept is defined.	string	
access_constraints	MaterialSampleCuration	Cultural, legal, or other policy issues that bear on access to view, borrow, or subsample a sample or visit a sampling site.	array	
curation_location	MaterialSampleCuration	Information about where and how the sample is currently stored.	string	
description	MaterialSampleCuration	Free text description of the subject of a triple.	string	
